,Prefix,First Name,Last Name,Job Title,Mobile Number,Company,Business Category,NAICS Codes,Commodities,Location,Geographical Region,Number of Employees,Ethnicity,References,Scope of Work,Revenue,Business Description,Keywords,Business Structure,Fax Number,Outside Facilities
0,-3.8077,1.1332,-1.8665,1.4064,-0.32356665,0.22355,0.3960875,-0.7028567,-1.1429,-2.616944,2.5123,0.32138,-4.8666,-1.1060504,0.29899517,-1.2167,-1.0434185,-1.2045774,-2.9235,-0.23362666,2.1702
1,-0.52119,0.63617,-5.8125,-0.71155,-1.3514434,-3.9027276,-2.7468498,-3.2390833,-5.5225,-0.33257312,-4.6716,0.61406,0.40979,-1.4379333,-1.269188,-9.9711,-0.7651934,-2.4202175,-7.0693,-2.7785666,-1.4385
2,-2.9066,1.0022,1.5942,-0.68569,1.2281266,3.301675,4.167975,4.5402164,8.1828,1.6634929,3.4286,-0.41225,0.61569,1.805601,1.1039089,0.16368663,0.11743644,4.1529,3.077,0.67267996,1.8633
3,-3.0912,0.12825,1.4369,2.077,-1.2801,1.239675,2.34193,3.3262835,1.4684,-1.4431012,4.5623,-0.25805,1.2687,0.7235885,0.19404301,5.457767,1.0099907,1.718878,3.1733,-2.0097666,-2.0603
4,-4.3012,0.76131,-0.21905,2.49,-0.23580633,3.4415526,1.6173226,1.7719,1.5059,0.374065,1.5501,0.23352,4.9266,1.2728692,2.7474103,4.3613997,3.9371903,2.5208836,0.87611,0.14700334,-0.13968
5,-0.26032,1.0419,-0.76206,0.088638,-0.30157998,-0.17388505,-1.85064,-1.2403245,-1.5749,-0.96516275,1.8152,-0.33561,-0.51556,-0.8056305,-0.6894336,-3.5557067,-0.1347677,-1.0732621,0.41655,-1.6300501,3.008
6,0.69785,0.97754,-0.23203,-2.8499,-0.68303996,0.868145,-1.2967801,0.47889987,2.1667,1.940929,0.58845,0.13532,0.63849,0.6344556,-0.19345249,2.2028768,0.9840771,0.22105922,1.6787,-0.105846666,-1.5121
7,-2.3836,2.3622,-4.9559,-2.3119,0.3973973,-1.9261475,0.18218249,-0.5089484,-2.3453,0.18706734,-3.4598,1.3398,1.2426,-1.1108315,2.4655797,-1.1849657,2.5945618,-0.5862655,1.0548,-0.019786635,-0.47667
8,-2.4023,-1.8748,-0.32279,0.2277,-1.05132,-1.17906,0.045722544,-0.15220165,-1.7805,-0.636877,-0.33326,0.55209,1.7922,-0.9795361,-2.6306577,2.1714666,-1.2359263,-1.5693002,0.024597,-0.21762998,-2.4696
9,9.44,-0.50948,-1.502,-3.5994,0.47301996,-1.8613751,-1.6632375,-1.8914434,-3.1691,3.2369685,-1.7514,-1.6414,0.86768,-0.16371742,-1.5229033,-5.424467,-0.7025647,-0.0058030994,-1.5751,1.4629399,-1.3695
10,1.6838,3.5942,0.3302,3.3205,-0.5041083,0.31505013,4.5627,5.2378335,5.6493,-1.5484612,1.8021,-0.56808,4.1954,-0.23054902,4.786809,-1.8997434,4.7151213,3.8297179,3.3096,-0.17734666,-3.7992
11,-3.5622,0.23356,0.329,0.79904,-1.4899501,1.7391,0.91782755,0.6558966,2.9092,-0.48710284,1.1176,-1.0888,1.8317,-0.1808363,2.8556695,-0.54006934,2.3161948,0.9503898,1.6569,-0.9682234,-3.4258
12,2.5661,-2.4514,1.7061,-4.4593,0.26311332,-3.759175,-3.5621998,-3.9922497,-4.3978,-1.579692,-2.0174,2.0732,-1.2639,-0.59918135,-4.1628923,0.78185004,-4.248928,-3.9211135,-3.1123,0.5914716,3.8069
